input_condition,model,layer,pooling,spearman_rho,p_value,n_pairs,model_name
contextual,BERTurk,1,first,0.4554684322329078,5.6082685503002985e-27,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,last,0.3294359364327293,4.0298314011551805e-14,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,mean,0.2990296745315741,8.695900446012374e-12,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,max,0.1834385772335981,3.6814574980274313e-05,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,first,0.5275383971276283,3.630230351379531e-37,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,last,0.41390070027590237,4.085490346480301e-22,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,mean,0.42602472036192446,1.827595555839097e-23,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,max,0.33765676536935146,8.465374298774332e-15,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,first,0.45264859718276973,1.2598318235046885e-26,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,last,0.40771562205812506,1.90000175818101e-21,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,mean,0.4504409264325345,2.3616422192235264e-26,500,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,max,0.35273211141417843,4.2797654263953804e-16,500,dbmdz/bert-base-turkish-cased
contextual,mBERT,1,first,0.09742508921067253,0.029389460954861515,500,bert-base-multilingual-cased
contextual,mBERT,1,last,-0.008634024196836468,0.8472855384431327,500,bert-base-multilingual-cased
contextual,mBERT,1,mean,-0.041082486224509114,0.35928930427888794,500,bert-base-multilingual-cased
contextual,mBERT,1,max,-0.13642460927658479,0.002234023183470025,500,bert-base-multilingual-cased
contextual,mBERT,7,first,0.23251597060655863,1.452815810448043e-07,500,bert-base-multilingual-cased
contextual,mBERT,7,last,0.24413761071283505,3.215029701239658e-08,500,bert-base-multilingual-cased
contextual,mBERT,7,mean,0.18274666167613268,3.9432574947217004e-05,500,bert-base-multilingual-cased
contextual,mBERT,7,max,0.05044510096871004,0.2602161279378081,500,bert-base-multilingual-cased
contextual,mBERT,12,first,0.1739303213877771,9.256318626333202e-05,500,bert-base-multilingual-cased
contextual,mBERT,12,last,0.1714851776714502,0.00011643666788085942,500,bert-base-multilingual-cased
contextual,mBERT,12,mean,0.11403679004889498,0.01071411182703608,500,bert-base-multilingual-cased
contextual,mBERT,12,max,-0.031379159861547906,0.4838801013282311,500,bert-base-multilingual-cased
contextual,XLM-R,1,first,0.1365909462386466,0.0022061378087488742,500,xlm-roberta-base
contextual,XLM-R,1,last,0.09019795035470081,0.043805184377937935,500,xlm-roberta-base
contextual,XLM-R,1,mean,-0.048517835062506114,0.2788909040582798,500,xlm-roberta-base
contextual,XLM-R,1,max,-0.0886119254962452,0.04766301238869562,500,xlm-roberta-base
contextual,XLM-R,7,first,0.24780313637651122,1.9657533381329395e-08,500,xlm-roberta-base
contextual,XLM-R,7,last,0.1898227688807879,1.9298846218785708e-05,500,xlm-roberta-base
contextual,XLM-R,7,mean,0.06188129653944703,0.16710410538696477,500,xlm-roberta-base
contextual,XLM-R,7,max,0.0868838211493618,0.05218655596193866,500,xlm-roberta-base
contextual,XLM-R,12,first,0.18060555458866703,4.869498110126077e-05,500,xlm-roberta-base
contextual,XLM-R,12,last,0.14193254781865383,0.0014631870317881393,500,xlm-roberta-base
contextual,XLM-R,12,mean,0.11410373875092855,0.010667828910516406,500,xlm-roberta-base
contextual,XLM-R,12,max,0.14148970453510912,0.0015146687162170434,500,xlm-roberta-base
